scheme_code,scheme_name,fund_house,category_group,sharpe_3y,quality_score
145589,Groww Dynamic Term Fund (formerly known as Indiabulls Dynamic Bond Fund) - Direct Plan - Growth option,Groww Mutual Fund,Debt,-0.0053300194071707,16.2
132995,Aditya Birla Sun Life Equity Savings Fund - Direct Plan - Growth,Aditya Birla Sun Life Mutual Fund,Equity,0.4456738738727407,14.5
138318,PGIM India Corporate Bond Fund - Growth,PGIM India Mutual Fund,Debt,0.4440287288219209,14.1
143704,Nippon India Nivesh Lakshya Long Duration Fund- Direct Plan- Growth Option,Nippon India Mutual Fund,Debt,0.2260177749236412,13.3
101862,Nippon India Banking & Financial Services Fund-Growth Plan-Growth Option,Nippon India Mutual Fund,Equity,0.2868763242571015,13.3
102395,UTI Infrastructure Fund-Growth Option,UTI Mutual Fund,Equity,0.4519360170073162,13.2
108799,BANDHAN Large Cap Fund - Regular Plan - Growth,Bandhan Mutual Fund,Equity,0.3819591659844517,12.9
134017,LIC MF Banking and Financial Services Fund-Direct Plan-Growth,LIC Mutual Fund,Equity,0.1727120953102013,12.4
111569,BANDHAN ELSS Tax Saver Fund - Regular Plan - Growth,Bandhan Mutual Fund,Equity,0.2727066128330712,11.6
133839,PGIM India Flexi Cap Fund - Direct Plan - Growth Option,PGIM India Mutual Fund,Equity,0.3742915710038004,11.1
147929,Axis ESG Integration Strategy Fund - Regular Plan - Growth Option,Axis Mutual Fund,Equity,0.2430174763645225,8.3
144484,UTI Equity Savings Fund - Regular Plan - Growth Option,UTI Mutual Fund,Equity,0.3810568080792151,7.8
119605,Aditya Birla Sun Life Government Securities Fund - Growth - Direct Plan,Aditya Birla Sun Life Mutual Fund,Debt,0.0272693057506647,7.4
108594,BANDHAN Flexi Cap Fund - Regular Plan - Growth,Bandhan Mutual Fund,Equity,0.4455928400074638,7.1
104637,Nippon India Focused Fund -Growth Plan -Growth Option,Nippon India Mutual Fund,Equity,0.313618371101137,4.6
147371,QUANTUM ESG BEST IN CLASS STRATEGY FUND - REGULAR PLAN - GROWTH OPTION,Quantum Mutual Fund,Equity,0.1860910140359966,4.6
141068,Quantum Value Fund - Regular Plan Growth Option,Quantum Mutual Fund,Equity,0.3382391024156411,3.7
138308,PGIM India Large Cap Fund - Growth,PGIM India Mutual Fund,Equity,0.1117756931949197,3.5
105823,LIC MF Banking & PSU Fund-Regular Plan-Growth,LIC Mutual Fund,Debt,0.0231283829234191,2.9
101042,Tata Gilt Securities Fund -Regular Plan- Growth Option,Tata Mutual Fund,Debt,0.000133941523806,2.2
103168,Aditya Birla Sun Life Digital India Fund - Growth - Regular Plan,Aditya Birla Sun Life Mutual Fund,Equity,0.0157985898974725,2.2
100651,UTI Large Cap Fund - Regular Plan - Growth Option,UTI Mutual Fund,Equity,0.1423118228405194,2.1
100363,ICICI Prudential Technology Fund - Growth,ICICI Prudential Mutual Fund,Equity,0.1056870300012412,2.1
