scheme_code,cagr_1y,cagr_3y,cagr_5y,cagr_10y,annual_volatility,max_drawdown,sharpe_3y,data_start,data_end,scheme_name,fund_house,scheme_category,expense_ratio,aum_cr
150568,-0.0201613690339763,0.0890456135396744,,,0.1234408398220352,-0.1616713091922005,0.2352998698125313,2022-09-07,2026-07-31,Sundaram Flexicap Fund Regular Growth,Sundaram Mutual Fund,Equity Scheme - Flexi Cap Fund,1.22,1912.41
150569,-0.1460530729854027,0.0221409007407535,,,0.133576536031208,-0.2598673430597611,-0.2834262691944731,2022-09-07,2026-07-31,Sundaram Flexicap Fund Regular Plan IDCW Payout,Sundaram Mutual Fund,Equity Scheme - Flexi Cap Fund,1.24,1912.41
150570,-0.1460530729854027,0.0221409007407535,,,0.133576536031208,-0.2598673430597611,-0.2834262691944731,2022-09-07,2026-07-31,Sundaram Flexicap Fund Regular Plan IDCW Reinvestment,Sundaram Mutual Fund,Equity Scheme - Flexi Cap Fund,1.25,1912.41
150571,-0.0068482322618118,0.1046823745367606,,,0.123451967465765,-0.1566289486688883,0.3619413724544464,2022-09-07,2026-07-31,Sundaram Flexicap Fund Direct Growth,Sundaram Mutual Fund,Equity Scheme - Flexi Cap Fund,0.64,1912.41
150572,-0.1337009515332027,0.0371126469802367,,,0.1334832886798891,-0.241761862221462,-0.1714623099723756,2022-09-07,2026-07-31,Sundaram Flexicap Fund Direct Plan IDCW Reinvestment,Sundaram Mutual Fund,Equity Scheme - Flexi Cap Fund,0.66,1912.41
150573,-0.1337009515332027,0.0371126469802367,,,0.1334832886798891,-0.241761862221462,-0.1714623099723756,2022-09-07,2026-07-31,Sundaram Flexicap Fund Direct Plan IDCW Payout,Sundaram Mutual Fund,Equity Scheme - Flexi Cap Fund,0.65,1912.41
151796,0.091775514738847,0.1816797564663244,,,0.1500947716195732,-0.1811928141379583,0.8106861761629585,2023-07-06,2026-07-31,360 ONE FLEXICAP FUND-DIRECT PLAN- GROWTH,360 ONE Mutual Fund,Equity Scheme - Flexi Cap Fund,0.51,2118.85
151797,0.0755768749933469,0.1634104373884486,,,0.1500859523263386,-0.1880418312343194,0.6890081035938572,2023-07-06,2026-07-31,360 ONE FLEXICAP FUND-REGULAR PLAN- IDCW,360 ONE Mutual Fund,Equity Scheme - Flexi Cap Fund,1.11,2118.85
151798,0.091775514738847,0.1816797564663244,,,0.1500948273268122,-0.1811928141379583,0.8106858752792484,2023-07-06,2026-07-31,360 ONE FLEXICAP FUND-DIRECT PLAN- IDCW,360 ONE Mutual Fund,Equity Scheme - Flexi Cap Fund,0.52,2118.85
151799,0.0755768749933469,0.1634104373884486,,,0.1500859523263386,-0.1880418312343194,0.6890081035938572,2023-07-06,2026-07-31,360 ONE FLEXICAP FUND-REGULAR PLAN- GROWTH,360 ONE Mutual Fund,Equity Scheme - Flexi Cap Fund,1.09,2118.85
