date,nav,dayChange,scheme_code
2006-04-03,30.13,,101922
2006-04-04,30.54,0.4100000000000001,101922
2006-04-05,30.93,0.3900000000000005,101922
2006-04-07,30.69,-0.2399999999999984,101922
2006-04-10,30.84,0.1499999999999985,101922
2006-04-12,30.32,-0.5199999999999996,101922
2006-04-13,29.68,-0.6400000000000006,101922
2006-04-17,30.1,0.4200000000000017,101922
2006-04-18,30.32,0.2199999999999988,101922
2006-04-19,30.31,-0.0100000000000015,101922
2006-04-20,30.81,0.5,101922
2006-04-21,31.13,0.3200000000000003,101922
2006-04-24,31.3,0.1700000000000017,101922
2006-04-25,31.0,-0.3000000000000007,101922
2006-04-26,31.35,0.3500000000000014,101922
2006-04-27,31.42,0.0700000000000002,101922
2006-04-28,31.21,-0.2100000000000008,101922
2006-05-02,31.89,0.6799999999999997,101922
2006-05-03,32.0,0.1099999999999994,101922
2006-05-04,32.05,0.0499999999999971,101922
2006-05-08,28.72,-3.3299999999999983,101922
2006-05-09,32.02,3.3000000000000043,101922
2006-05-10,32.22,0.1999999999999957,101922
2006-05-11,31.87,-0.3499999999999978,101922
2006-05-12,31.68,-0.1900000000000012,101922
2006-05-15,30.29,-1.3900000000000006,101922
2006-05-16,30.03,-0.259999999999998,101922
2006-05-17,30.94,0.91,101922
2006-05-18,28.6,-2.34,101922
2006-05-19,27.41,-1.1900000000000013,101922
2006-05-22,25.69,-1.7199999999999989,101922
2006-05-23,27.02,1.3299999999999983,101922
2006-05-24,26.44,-0.5799999999999983,101922
2006-05-25,26.33,-0.1100000000000029,101922
2006-05-26,26.83,0.5,101922
2006-05-29,27.02,0.1900000000000012,101922
2006-05-30,27.01,-0.009999999999998,101922
2006-05-31,26.17,-0.8399999999999999,101922
2006-06-01,25.17,-1.0,101922
2006-06-02,25.59,0.4199999999999981,101922
2006-06-05,25.05,-0.5399999999999991,101922
2006-06-06,24.06,-0.990000000000002,101922
2006-06-07,22.93,-1.129999999999999,101922
2006-06-08,21.29,-1.6400000000000006,101922
2006-06-09,22.72,1.4299999999999995,101922
2006-06-12,22.15,-0.5700000000000003,101922
2006-06-13,20.99,-1.16,101922
