category,scheme_name,benchmark,return_1y_direct,return_3y_direct,return_5y_direct
Large & Mid Cap,SBI Large & Midcap Fund,Nifty LargeMidcap 250 TRI,8.948504,15.345731,15.080483
Large & Mid Cap,Samco Large & Mid Cap Fund,Nifty LargeMidcap 250 TRI,-5.6133056,,
Large & Mid Cap,Sundaram Large and Mid Cap Fund,Nifty LargeMidcap 250 TRI,12.907133,16.5045,14.1083765
Large & Mid Cap,Tata Large & Mid Cap Fund,Nifty LargeMidcap 250 TRI,-1.0271806,9.526889,11.564593
Large & Mid Cap,The Wealth Company Large & Mid Cap Fund,Nifty LargeMidcap 250 TRI,,,
Large & Mid Cap,UTI Large & Mid Cap Fund,Nifty LargeMidcap 250 TRI,7.763968,17.699444,15.621265
Large & Mid Cap,Union Large and Mid Cap Fund,Nifty LargeMidcap 250 TRI,9.848764,14.835892,13.913605
Large & Mid Cap,WhiteOak Capital Large & Mid Cap Fund,BSE 250 Large MidCap TRI,10.679611,,
Flexi Cap,360 ONE Flexicap Fund,BSE 500 TRI,11.871561,19.11727,
Flexi Cap,Abakkus Flexi Cap Fund,BSE 500 TRI,,,
Flexi Cap,Aditya Birla Sun Life Flexi Cap Fund,Nifty 500 TRI,13.544871,17.30301,13.567915
Flexi Cap,Axis Flexi Cap Fund,Nifty 500 TRI,7.613868,15.167935,10.862657
Flexi Cap,Bajaj Finserv Flexi Cap Fund,BSE 500 TRI,10.823466,,
Flexi Cap,Bandhan Flexi Cap Fund,BSE 500 TRI,5.3405476,14.089101,11.722816
Flexi Cap,Bank of India Flexi Cap Fund,BSE 500 TRI,15.05876,21.460608,17.4986
Flexi Cap,Baroda BNP Paribas Flexi Cap Fund,Nifty 500 TRI,6.5291543,14.834446,
Flexi Cap,Canara Robeco Flexi Cap Fund,BSE 500 TRI,4.224242,13.6780815,11.845559
Flexi Cap,Capitalmind Flexi Cap Fund,Nifty 500 TRI,,,
Flexi Cap,DSP Flexi Cap Fund,Nifty 500 TRI,6.2861786,14.191664,11.598366
Flexi Cap,Edelweiss Flexi Cap Fund,Nifty 500 TRI,7.6287804,16.750399,14.544862
Flexi Cap,Franklin India Flexi Cap Fund,Nifty 500 TRI,1.8434355,13.76654,14.009911
Flexi Cap,HDFC Flexi Cap Fund,Nifty 500 TRI,7.1682253,18.010368,18.652363
Flexi Cap,HSBC Flexi Cap Fund,Nifty 500 TRI,8.430476,17.323725,15.017803
Flexi Cap,Helios Flexi Cap Fund,Nifty 500 TRI,10.958904,,
Flexi Cap,ICICI Prudential Flexicap Fund,BSE 500 TRI,14.586543,18.870047,16.957426
Flexi Cap,ITI Flexi Cap Fund,Nifty 500 TRI,14.285404,20.192522,
Flexi Cap,Invesco India Flexi Cap Fund,BSE 500 TRI,5.9529767,20.409416,
Flexi Cap,JM Flexi Cap Fund,BSE 500 TRI,6.3875375,17.156593,17.595182
Flexi Cap,JioBlackRock Flexi Cap Fund,Nifty 500 TRI,,,
Flexi Cap,Kotak Flexi Cap Fund,Nifty 500 TRI,3.9417138,13.934468,12.343134
Flexi Cap,LIC MF Flexi Cap Fund,Nifty 500 TRI,12.410451,13.636953,12.1438055
Flexi Cap,Mahindra Manulife Flexi Cap Fund,Nifty 500 TRI,2.6544716,12.519261,
Flexi Cap,Mirae Asset Flexi Cap Fund,Nifty 500 TRI,6.7609477,13.834738,
Flexi Cap,Motilal Oswal Flexi Cap Fund,Nifty 500 TRI,1.6556988,19.952084,13.391606
Flexi Cap,NJ Flexi Cap Fund,Nifty 500 TRI,1.6715117,,
Flexi Cap,Navi Flexi Cap Fund,Nifty 500 TRI,15.651477,13.4931345,13.3052225
Flexi Cap,Nippon India Flexi Cap Fund,Nifty 500 TRI,5.097072,13.1555395,
Flexi Cap,Old Bridge Flexi Cap Fund,BSE 500 TRI,,,
Flexi Cap,PGIM India Flexi Cap Fund,Nifty 500 TRI,4.9479165,11.898118,9.752585
Flexi Cap,Parag Parikh Flexi Cap Fund,Nifty 500 TRI,1.4427521,14.952118,13.774447
Flexi Cap,Quant Flexi Cap Fund,Nifty 500 TRI,16.81438,18.051073,16.007605
Flexi Cap,SBI Flexi Cap Fund,BSE 500 TRI,3.2466211,9.857216,9.709212
Flexi Cap,Samco Flexi Cap Fund,Nifty 500 TRI,-4.0256176,-0.59547615,
Flexi Cap,Shriram Flexi Cap Fund,Nifty 500 TRI,3.32238,10.360156,9.741745
Flexi Cap,Sundaram Flexi Cap Fund,Nifty 500 TRI,1.3789023,11.358181,
Flexi Cap,TRUSTMF Flexi Cap Fund,Nifty 500 TRI,11.568799,,
Flexi Cap,Tata Flexi Cap Fund,Nifty 500 TRI,1.8848647,12.632322,11.284563
Flexi Cap,Taurus Flexi Cap Fund,BSE 500 TRI,9.05007,13.368748,11.142377
Flexi Cap,The Wealth Company Flexi Cap Fund,Nifty 500 TRI,,,
Flexi Cap,UTI Flexi Cap Fund,Nifty 500 TRI,3.6767178,10.066211,6.9495597
Flexi Cap,Unifi Flexi Cap Fund,Nifty 500 TRI,6.2620397,,
Flexi Cap,Union Flexi Cap Fund,BSE 500 TRI,6.580117,13.23348,12.18886
Flexi Cap,WhiteOak Capital Flexi Cap Fund,BSE 500 TRI,8.600347,17.017591,
Multi Cap,Aditya Birla Sun Life Multi Cap Fund,NIFTY 500 Multicap 50:25:25 Total Return Index,11.397954,15.868298,14.552405
Multi Cap,Axis Multicap Fund,NIFTY 500 Multicap 50:25:25 Total Return Index,11.980572,21.627905,
Multi Cap,Bajaj Finserv Multi Cap Fund,NIFTY 500 Multicap 50:25:25 Total Return Index,12.523448,,
Multi Cap,Bandhan Multicap Fund,NIFTY 500 Multicap 50:25:25 Total Return Index,7.224271,15.374893,
Multi Cap,Bank of India Multicap Fund,NIFTY 500 Multicap 50:25:25 Total Return Index,16.12542,20.067776,
Multi Cap,Baroda BNP Paribas Multi Cap Fund,NIFTY 500 Multicap 50:25:25 Total Return Index,7.7219577,16.400328,14.885595
Multi Cap,Canara Robeco Multi Cap Fund,NIFTY 500 Multicap 50:25:25 Total Return Index,7.152497,16.596006,
Multi Cap,DSP Multicap Fund,NIFTY 500 Multicap 50:25:25 Total Return Index,4.5653586,,
Multi Cap,Edelweiss Multi Cap Fund,NIFTY 500 Multicap 50:25:25 Total Return Index,10.900918,,
Multi Cap,Franklin India Multi Cap Fund,NIFTY 500 Multicap 50:25:25 Total Return Index,10.592008,,
Multi Cap,Groww Multicap Fund,NIFTY 500 Multicap 50:25:25 Total Return Index,19.507343,,
Multi Cap,HDFC Multicap Fund,NIFTY 500 Multicap 50:25:25 Total Return Index,4.2367215,14.57123,
Multi Cap,HSBC Multi Cap Fund,NIFTY 500 Multicap 50:25:25 Total Return Index,10.523777,20.605629,
