category,scheme_name,benchmark,return_1y_direct,return_3y_direct,return_5y_direct,scheme_code,matched_name
Large & Mid Cap,Canara Robeco Large and Mid Cap Fund,Nifty LargeMidcap 250 TRI,3.4641638,14.964186,12.681723,152408,Bajaj Finserv Large and Mid Cap Fund- Direct Plan- Growth
Large & Mid Cap,DSP Large & Mid Cap Fund,Nifty LargeMidcap 250 TRI,5.456703,16.48589,13.576731,146772,HSBC Large & Mid Cap Fund - Direct Growth
Large & Mid Cap,Edelweiss Large and Mid Cap Fund,Nifty LargeMidcap 250 TRI,8.773587,16.680231,14.595,140175,Edelweiss Large & Mid Cap Fund - Direct Plan - Growth Option
Large & Mid Cap,Franklin India Large & Mid Cap Fund,Nifty LargeMidcap 250 TRI,4.4807763,13.816968,11.88674,118510,Franklin India Large & Mid Cap Fund - Direct - Growth
Large & Mid Cap,HDFC Large and Mid Cap Fund,Nifty LargeMidcap 250 TRI,6.6962004,15.831812,16.543312,146772,HSBC Large & Mid Cap Fund - Direct Growth
Large & Mid Cap,HSBC Large & Midcap Fund,Nifty LargeMidcap 250 TRI,14.526899,20.021097,16.73856,146772,HSBC Large & Mid Cap Fund - Direct Growth
Large & Mid Cap,Helios Large & Mid Cap Fund,Nifty LargeMidcap 250 TRI,9.559513,,,146772,HSBC Large & Mid Cap Fund - Direct Growth
Large & Mid Cap,ICICI Prudential Large & Mid Cap Fund,Nifty LargeMidcap 250 TRI,10.47572,18.350084,18.361317,120596,ICICI Prudential Large & Mid Cap Fund - Direct Plan - Growth
Large & Mid Cap,ITI Large & Mid Cap Fund,Nifty LargeMidcap 250 TRI,7.385136,,,146772,HSBC Large & Mid Cap Fund - Direct Growth
Large & Mid Cap,Invesco India Large & Mid Cap Fund,Nifty LargeMidcap 250 TRI,12.852083,25.288263,18.759762,120357,Invesco India Large & Mid Cap Fund - Direct Plan - Growth
Large & Mid Cap,JM Large & Mid Cap Fund,Nifty LargeMidcap 250 TRI,9.865991,,,146772,HSBC Large & Mid Cap Fund - Direct Growth
Large & Mid Cap,Kotak Large & Midcap Fund,Nifty LargeMidcap 250 TRI,7.829439,16.18331,15.25643,120158,Kotak Large & Midcap Fund - Direct- Growth
Large & Mid Cap,LIC MF Large & Mid Cap Fund,Nifty LargeMidcap 250 TRI,5.566173,16.51802,13.846334,133710,LIC MF Large & Mid Cap Fund-Direct Plan-Growth
Large & Mid Cap,Mahindra Manulife Large & Mid Cap Fund,Nifty LargeMidcap 250 TRI,6.607717,14.682247,14.477961,147840,Mahindra Manulife Large & Mid Cap Fund - Direct Plan -Growth
